en,fr,de,vi
chemical geothermometer,géothermomètre chimique,chemischer Erdwärmemesser,
chemical heat pipe,caloduc chimique,chemisches Wärmerohr,
chemical hole cleaning,nettoyage chimique des trous,chemische Lochreinigung,
chemical leaching,lixiviation,Aussolung,
chemical phase epitaxy,épitaxie en phase chimique,chemische Phasenepitaxie,
chemical purification,épuration chimique,chemische Gasreinigung,
chemical storage,stockage chimique,chemische Speicherung,
chemical storage of energy,stockage chimique d'énergie,chemische Energiespeicherung,
chemical transport,transport chimique,chemischer Donatortransport,
chemical vapour deposition,dépôt en phase vapeur par procédé chimique,chemisches Aufdampfen,
chemical(energy)storage system,système de stockage chimique,chemisches Energiespeichersystem,
chemically impregnated electrode,électrode imprégnée chimiquement,chemisch imprägnierte Elektrode,
chemically-reversed photomask,masque photographique inversé chimiquement,chemisch umgekehrte Fotomaske | Photomaske,
chequerwork,empilage,Gitterwerk,
chest freezer,congélateur horizontal,Haushaltgefriertruhe,
chest freezer,congélateur-bahut,Haushalts/gefriertruhe,
chimney,verre de lampe,Zylinder,
chimney pot,pot de cheminée,runde Schornsteindüse,
chip bonding,montage de puce,Chipbonden,
chip capacitor,condensateur à puce,Plättchenkondensator,
chip carrier,support de puce,Chip-Carrier,
chip complexity,complexité de la pastille,Komplexität der Anordnung auf einem Chip,
chip complexity,complexité de la pastille,Komplexität der Funktion eines Chips,
chip enable gate,porte d'habilitation sur pastille,Chip-Enable-Verknüpfungsglied,
chip family,famille de circuits logiques,Schaltungsfamilie,
chip microprocessor,puce microprocesseur,Chip-Mikroprozessor,
chip mounting technique,technique de montage de la pastille,Chipmontagetechnik,
chip rate,débit des éléments,Chip-Rate,
chip resistor,résistance de puce,Chipwiderstand,
chip select line,sélection de circuit,Chipauswahl,
chip semiconductor element,élément semiconducteur en pastille,Chip-Halbleiterbauelement,
chip yield,rendement en pastille,Chipausbeute,
chip-complexity optimisation,optimisation de la complexité de la pastille,Optimierung der Anordnung auf einem Chip,
chip-enable,validation de circuit,Freigabe eines Bausteins,
chipper,gyrobroyeur,Zerspaner,
chiral mesophase,mésophase chirale,chirale Mesophase,
chirp sounding,sondage au moyen d'ondes entretenues modulées en fréquence,Frequenzmodulationslotung,
chisel bar,pince à décrasser,Schlackstange,
chisel bond,soudure à pincement,Meißelkontaktierung,
chlorinated hydrocarbon solvent,solvant à hydrocarbure chloré,chloriertes Kohlenwasserstofflösungsmittel,
choke,piège,Drossel,
choke flange,bride à piège,Drosselflansch,
choke joint,raccord à piège,Drosselverbindung,
choking coil,bobine d'amortissement,Dämpfungsspule,
cholesteric phase,état cholestérique,cholesterinische Phase,
chopped lightning impulse,choc de foudre coupé,abgeschnittene Blitzstoßspannung,
chopped straw furnace,chaudière à paille hachée,Häckselstrohofen,
chopper controlled direct current motor,moteur à courant continu commandé par hacheur,choppergesteuerter Gleichstrommotor,
chopper semiconductor-controlled rectifier,modulateur à redresseur contrôlé,Thyristorzerhacker,
chopper stabilized amplifier,amplificateur à hacheur,Zerhackerverstärker,
chopper transistor,transistor découpeur,Zerhackertransistor,
chopper-bar regulator,régulateur à étrier de pression,Drueckbuegelregler,
chopper-stabilised amplifier,amplificateur stabilisé par découpeur,zerhackerstabilisierter Verstärker,
chord line,corde du profil,Profilsehne,
CHRIAROLITHE,CHRIAROLITHE,CHRIAROLITHE,
chroma level,niveau de chrominance,Chromapegel,
chroma phase,phase de chrominance,Chromaphase,
chromaticity,chromaticité,Farbart,
chromaticity coordinates,coordonnées trichromatiques,Farbwertanteile,
chromatograph,chromatograph,Chromatograph,
chrome or brick,brique de Corhart,Chromerzstein,
chrome-magnesite brick,brique de chrome-magnésie,Cr-Mg-Stein,
chrominance,chrominance,Farbart,
chrominance channel video frequencies,fréquence vidéo dans le canal de chrominance,Bildfrequenz im Chrominanzkanal,
chrominance sub-carrier frequency,fréquence de la sous-porteuse de chrominance,Frequenz der Chrominanzkomponente,
chrominance sub-carrier modulation,modulation de la sous-porteuse de chrominance,Modulation der Chrominanzkomponente,
chrominance/luminance ratio,rapport chrominance/luminance,Farbart/Leuchtdichteverhältnis,
chromium thin film,couche mince en chrome,Chrom-Film,
chromium-gold metallising,métallisation de chrome-or,Chrom-Gold-Metallisierung,
chromium-in-contact mask,masque à contact en chrome,Chrom-Kontaktmaske,
chronotron,chronotron,Chronotron,
CIE 1960 UCS diagram,diagramme de chromaticité uniforme CIE 1960,UCS-Farbtafel CIE 1960,
CIE spectral tristimulus values,composantes trichromatiques spectrales CIE,Normspektralwerte,
CIE standard photometric observer,observateur de référence photométrique CIE,photometrischer Normalbeobachter CIE,
cinching,glissement des spires,stufenförmiger Bandwickel,
cinder coal,charbon cendreux,Kohlenschlacke,
cinetheodolite lamps,feux pour cinéthéodolite,Leuchten für Kinetheodoliten,
cipher unit,encrypteur,Verwürfler,
circle diagram,diagramme du cercle,Kreisdiagramm,
circling guidance light,dispositif lumineux d'approche,Platzrundenführungsfeuer,
circling guidance lights,feux de guidage sur circuit,Platzrundenführungsfeuer,
circuit,circuit,Stromkreis,
circuit,terne,Stromkreis,
circuit alignment,réglage,Leitungsanordnung,
circuit analyzer,multimètre,Schaltkreisanalysator,
circuit angle,angle de couplage,Schaltungswinkel,
circuit balancing,équilibrage d'un circuit,Schaltungsabgleich,
circuit breaking,interruption du circuit de courant électrique,Stromkreisunterbrechung,
circuit characteristic,variable de ligne,Leitungs-Groesse,
circuit connection,raccordement de ligne,Leitungsanschluß,
circuit crest working off-state voltage,tension de crête à l'état bloqué dans le sens direct,Vorwärts-Scheitelsperrspannung,
circuit damping,amortissement de circuit,Dämpfung des Schaltkreises,
circuit diagram,schéma de connexion,Prinzipschema,
circuit element,élément de circuit,Stromkreiselement,
circuit element in terms of components,élément de circuit en composantes,transformiertes Stromkreiselement,
circuit for connecting buses,circuit pour le raccordement de bus,Baustein zum Verbinden der Busse,
circuit for detecting pre-ignition,circuit de détection de l'allumage prématuré,Frühzündungsmelder,
circuit for disconnecting buses,circuit pour la coupure de bus,Baustein für Unterbrechung der Busse,
circuit gain stability,stabilité du gain du circuit,Verstärkungsstabilisierung eines Schaltkreises,
circuit insulation voltage,tension nominale d'isolement,Isolationsspannung,
circuit interconnection technology,technologie d'interconnexion des circuits,Technologie der Schaltkreisverbindung,
circuit interruption probability,probabilité d'interruption de l'ensemble du circuit,Wahrscheinlichkeit der Leitungsunterbrechung,
circuit length,longueur d'un circuit de ligne électrique,Stromkreislaenge,
circuit length,longueur du terne,Stromkreislaenge,
circuit length of an electric line,longueur d'un circuit de ligne électrique,Stromkreislaenge,
circuit module,circuit modulaire,elektronischer Baustein,
circuit non-repetitive peak off-state voltage,tension de pointe non répétitive à l'état bloqué dans le sens direct,Vorwärts-Stoßspitzenspannung,
circuit of an electric line,circuit de ligne électrique,Stromkreis,
circuit off-state interval,intervalle de blocage dans le sens direct,Vorwärts-Sperrzeit,
circuit protector,dispositif de protection du circuit,Überstromsicherung,
circuit quality factor,facteur de qualité d'un circuit,Qualitätsfaktor eines Schaltkreises,
circuit quality monitoring,contrôle de la qualité du circuit,Qualitätskontrolle der Leitung,
circuit repetitive peak off-state voltage,tension de pointe répétitive à l'état bloqué dans le sens direct,periodische Vorwärts-Spitzensperrspannung,
circuit repetitive peak reverse voltage,tension inverse de pointe répétitive,positive periodische Spitzensperrspannung,
circuit resonance,résonnance d'un circuit,Stromkreisresonanz,
circuit reverse blocking interval,intervalle de blocage dans le sens inverse,Rückwärts-Sperrzeit,
circuit switched connection,liaison commutee,Durchschalteverbindung,
circuit switched service,service avec commutation de circuits,Leitungsvermittlungsdienst,
circuit terminal,bornes terminales,Endgeräte,
circuit valve,valve,Zweigelement,
circuit with specified function,circuit de fonction déterminée,Stromkreis,
circuit-breaker bay,cellule disjoncteur,Trennerzelle,
circuit-breaker capacitor,condensateur pour disjoncteurs,Unterbrecherkondensator,
circuit-breaker display,panneau d'interrupteurs,Schaltfeld,
circuit-breaker panel,panneau de disjoncteurs,Schutzschaltertafel,
circuit-breaker panel,tableau des disjoncteurs,Schutzschaltertafel,
circuit-breaker switch,commande du disjoncteur,Stelleinrichtung für Trennschalter,
circuit-released-acknowledgement signal,signal d'accusé de réception de libération de circuit,Bestätigungssignal der Leitungsfreigabe,
circuitry,circuits,Schaltung,
circuitry complexity,complexité de la circuiterie,Schaltkreiskomplexität,
circular connector,connecteur cylindrique,Rundsteckverbinder,
circular diagram,diagramme de Riecke,Kreisdiagramm,
circular impedance characteristic,caractéristique circulaire d'impédance,kreisfoermige Impedanz-charakteristik,
circular main lobe,lobe principal circulaire,kreisförmiger Hauptkeule,
circular plasma,plasma circulaire,kreisförmiges Plasma,
circular polarisation,polarisation circulaire,zirkulare Polarisation,
circular slide valve,tiroir rotatif,Drehschieber,
circular waveguide,guide circulaire,Rund-Hohlleiter,
circularly polarized,polarisé circulairement,zirkular polarisiert,
circularly polarized feed,alimentation en polarisation circulaire,zirkular polarisierte Speisung,
circularly polarized system,système à polarisation circulaire,zirkular polarisiertes System,
circularly polarized transmission,émission à polarisation circulaire,zirkulär polarisierte Übertragung,
circularly polarized wave,onde électromagnétique polarisée circulairement,zirkulär polarisierte Welle,
circularly symmetric lobe,lobe à symétrie circulaire,kreisförmige Keule,
circularly-polarized antenna,antenne à polarisation circulaire,zirkularpolarische Antenne,
circulated gas-oil ratio,rapport gaz injecté/brut extrait,Verhältnis des injizierten Gases zur zugehörigen Ölförderung,
circulating current,courant de circulation,Ausgleichstrom,
circulation,circulation le long d'un contour fermé,Umlaufintegral,
circulation line,tuyauterie de transit,Kreislaufrohrleitung,
circulation oven,four à courant circulaire,Kreisstromofen,
circulator,circulateur,Zirkulator,
circulator,circulateur,Zirkulator,
circumaural earphone,écouteur à pavillon enveloppant,ohrumschließender Kopfhörer,
circumferential separation,fissure périphérique de cordon de soudure,peripherer Lockabri,
clad printed-circuit board,plaque métallisée pour circuit imprimé,metallkaschierte Leiterplatte,
cladding centre,centre de la gaine optique,Mantelmitte,
cladding diameter,diamètre de la gaine optique,Manteldurchmesser,
cladding mode stripper,suppresseur de mode de gaine,Modenabstreifer,
clamp,dispositif d'alignement,Klemmschaltung,
clamp-mounted device,élément monté par encliquetage,Bauelement mit Klammerbefestigung,
clamp-on ammeter,pince ampèremétrique,Zangenstrommeter,
clamping,blocage du niveau,Schwarzwerthaltung,
clamping,verrouillage,Klemmen,
clamping diode,diode de limitation,Klemmdiode,
clamping video signals,verrouillage des signaux vidéo,Festhalten von Videosignalen,
clamshell charging bucket,panier à coquilles,Schrottkorb mit Halbschalen-Öffnungsmechanik,
clarea,clarea,Clarea,
clarite,clarite,Clarit,
class A operation,fonctionnement en classe A,A-Betrieb,
class AB operation,fonctionnement en classe AB,AB-Betrieb,
class B amplifier,amplificateur fonctionnant en classe B,Verstärker im B-Betrieb,
class B operation,fonctionnement en classe B,B-Betrieb,
class C amplifier,amplificateur fonctionnant en classe C,Verstärker im C-Betrieb,
class C operation,fonctionnement en classe C,C-Betrieb,
class C operation,fonctionnement en classe C,Klasse Betrieb,
class D amplifier,amplificateur fonctionnant en classe D,Verstärker im D-Betrieb,
class four partial response coding,codage à réponse partielle de classe 4,Teilantwortkodierung nach Klasse 4,
class of emission,format d'émission,Sendeart,
class operation,fonctionnement en classe,Klasse Betrieb,
class-A amplifier,amplificateur fonctionnant en classe A,Verstärker im A-Betrieb,
