en,fr,de,vi
dynamic lift of a single airfoilwing,portance en monoplan,Auftrieb eines einzelnen Tragfluegels,
dynamic lift of an airfoil wing in a cascade,portance en multiplan,Auftrieb eines Tragfluegels in einem Fluegelgitter,
dynamic loss,perte dynamique,Verzoegerungsdruckverlust,
dynamic regulation curve of output pressure,courbe dynamique de détente,dynamische Entspannungskurve,
dynamic seal,joint dynamique,dynamische Dichtung,
dynamic stationing system,système de positionnement dynamique,dynamisches Positionierungssystem,
dynamic suction head,capacité pratique d'aspiration,dynamische Saughoehe,
dynamic suspension,suspension de moteur élastique,dynamische Aufhängung,
dynamic test,épreuve dynamique,dynamische Prüfung,
dynamic torque,couple dynamique,dynamisches Drehmoment,
dynamics,éléments dynamiques,dynamische Komponenten,
dynamo,génératrice de courant continu,Gleichstromgenerator,
dynamo bearing,coussinet de dynamo,Ankerlager eines Dynamos,
dynamo belt,courroie de la dynamo,Treibriemen der Lichtmaschine,
dynamo-magneto,dynamo-magnéto,Zündlichtmaschine,
dynamometric wrench,clef dynamométrique,Kraftmess-Schlüssel,
dynamotor,dynamoteur,Gleichstrom-Gleichstrom Einankerumformer,
dzus fastener,verrou à fermeture rapide,verschlussriegel,
earth continuity connector,connecteur de continuité de terre,Festmasseverbindung,
earth continuity link,raccordement de terre,Verbindungsglied fuer durchgaengige Erdung,
earth coupler,raccordement de terre,Erdungsverbindung,
earth leakage,perte à la terre,Erdschluss,
earth link,connecteur de terre,Erdungsglied,
earth skip,benne à terre,Erdschaufel,
earth stud,plot de terre,Erdungsschraube,
earth-air heat pump,pompe à chaleur sol-air,Erdreich-Luft-Wärmepumpe,
earthenware socket pipe,tuyau à emboîtement en terre cuite,Tonmuffenrohr,
ebullition,ébullition,Sieden,
eccentric,excentrique,exzentrisch,
eccentric bolt,boulon excentré,Exzenterbolzen,
eccentric bush,bague excentrée,Exzenterbuchse,
eccentric bush,bague excentrée,Exzenterbuchse,
eccentric bushing,douille excentrée,Exzenterbuechse,
eccentric collar,collier excentrique,Exzenterklammer,
eccentric crank,manivelle à excentrique,Exzenterkurbel,
eccentric drive shaft,arbre d'entraînement excentrique,Exzenterantriebswelle,
eccentric gear,engrenage excentrique,Exzenterzahnrad,
eccentric piston ring,segment excentrique de piston,unrunder Kolbenring,
eccentric press,presse excentrique,Exzenterpresse,
eccentric ram's horn pump,pompe à vis excentrique,Exzenterschneckenpumpe,
eccentric rod,tige d'excentrique,Exzenterstange,
eccentric shaft,arbre à excentrique,Exzenterwelle,
eccentric sheave,excentrique,Exzenterscheibe,
eccentric strap,collier d'excentrique,Exzenterring,
eccentric stud,goujon excentré,Exzenterbolzen,
eccentric system,système à excentrique,Exzenterantrieb,
eccentricity,erreur du mouvement rotatif,Rundlauffehler,
eccentricity,excentricité d'une roue,Rundlauffehler eines Rades,
eccentry pulley,poulie d'excentrique,Exzenterscheibe,
economiser,économiseur,Speisewasservorwaermer,
economiser jet,gicleur d'économie,Spardüse,
economizer valve carburetor,carburateur à économiseur,Spardüsenvergaser,
economy resistance,interrupteur économiseur,Sparschalter,
eddy and turbulence loss,perte par décollement,Abloeseverlust,
eddy chamber,chambre à tourbillon,Wirbelkammer,
eddy current brake,ralentisseur magnétique,magnetischer Verzögerer,
eddy current motor,moteur à courant de foucault,Wirbelstrommotor,
eddy diffusion,diffusion convective,turbulenter Stofftransport,
eddy-current braking,freinage par courants de Foucault,Wirbelstrom-Bremsen,
edge distance,cote de trusquinage,Parallelmaßbezeichnung,
edge distance,pince,Randabstand,
edge distance,pince longitudinale,Randabstand in Kraftrichtung,
edge distance,pince transversale,Randabstand senkrecht zur Kraftrichtung,
edge effects,effets de bord,Randeffekte,
edge loading,résistance de l'arête de dent,Kantentragen,
edge lock,genouillères latérales,Doppelkniegelenk,
edge planer,chanfreineuse,Blechkantenhobelmaschine,
edge rolling tool,outillage à rouler,Rollwerkzeug,
edge runner mill,broyeuse,Kollermühle,
edge stiffening,renfort d'extrémité,Randversteifung,
edge supported belt,bande supportée latéralement,seitlich abgestuetzter Gurt,
edge type filter,filtre à peignes,Lamellenfilter,
edger,dresseuse,Furnierfügemaschine,
edgewise,chant (de),hochkant,
EDM drilling,perçage électroérosif,funkenerosives Bohren,
eduction pipe,tube de refoulement,Steigrohr,
effective capacity,cylindrée effective,effektives Fördervolumen,
effective cutter diameter,diamètre nominal,Nenndurchmesser,
effective cutting power,puissance de coupe réelle,Wirkschnittleistung,
effective cylinder capacity,volume réel de fluide hydraulique,Betriebshydrovolumen,
effective driving medium pressure,pression réelle du fluide moteur,wirksamer Treibmediumdruck,
effective exit velocity,vitesse afficace d'éjection,wirksame Ausströmungsgeschwindigkeit,
effective face width,largeur effective de denture,effektive Zahnbreite,
effective face width of bevel gear,largeur de denture effective de la roue conique,effektive Zahnbreite am Kegelrad,
effective field capacity,capacité effective de travail au champ,effektive ArbeitsfΕhigkeit,
effective filtration area,surface effective de filtration,tatsächliche Filteroberfläche,
effective freezing time,temps effectif de congélation,tatsaechliche Gefrierzeit,
effective horse power,puissance effective,Effektive Leistung,
effective hydraulic power,puissance hydraulique effective,effektive hydraulische Leistung,
effective hydraulic power,puissance hydraulique utile,effektive hydraulische Leistung,
effective input flow,débit d'entrée effectif,effektiver Schluckstrom am Eingang,
effective output flow,débit de sortie effectif,effektiver Förderstrom,
effective piston area,surface effective du piston,effektive Kolbenfläche,
effective piston area on piston rod side,surface effective du piston côté tige,effektive Kolbenstangenseitige Kolbenfläche,
effective power,puissance effective,effektive Leistung,
effective pressure angle,angle de pression de fonctionnement,Betriebseingriffswinkel,
effective propeller thrust,traction effective de l'hélice,effektiver Propellerschub,
effective running time,temps de marche effectif,tatsaechliche Betriebszeit,
effective stroke,course utile,wirksamer Hub,
effective synchronous reactance,réactance synchrone équivalente,gleichwertige Synchronreaktanz,
effective torque,moment effectif,effektives Drehmoment,
effective turns per phase,spires effectives par phase,wirksame Windungen je Phase,
effective width angle,angle de largeur effective,effektiver Breitenwinkel,
effective work,travail effectif,effektive Arbeit,
effector,actionneur,Stellglied,
efficiency curve,courbe de rendement,Wirkungsgradkurve,
efficiency hour rating,facteur de marche,Nennleistung fuer X Stunden Betriebsdauer,
efficiency tolerance,tolérance de rendement,Wirkungsgradtoleranz,
efficient ventilation of the cab,aération efficace de la cabine,wirksame Lüftung der Kabine,
effusion cooling,refroidissement par détente,Effusionskühlung,
egg crate diffuser,nid d'abeille,Leuchtgitterrost,
egg grading machine,trieuse pondérale automatique de classement pour les oeufs,Eiersortiermaschine,
eigenfrequency,fréquence propre,Eigenfrequenz,
eight part reeving,mouflage à huit brins,Achtseilflasche,
eighty-one tooth pinion,pignon à quatre vingt une dents,ein-und-achtzig Zähne-Zahnrad,
ejection,éjection,Auswerfen,
ejection seat pan,baquet de siège éjectable,Schleudersitzwanne,
ejector,éjecteur,Ausdruecker,
ejector,éjecteur,Ejektor,
ejector back plate,contreplaque d'éjection,Auswerferdeckplatte,
ejector condenser,éjectocondenseur,Strahlkondensator,
ejector die half,demi-moule mobile,Auswerfformhaelfte,
ejector drilling head,trépan à évacuation centrale des copeaux,Ejektorbohrkopf,
ejector effect,effet d'ejection,Ausstoßwirkung,
ejector lug,talon d'éjection,Auswerferansatz,
ejector nozzle,éjecteur,Strahlduese,
ejector nozzle,éjecteur,Strahldüse,
ejector pin,éjecteur,Auswerferstift,
ejector pin mark,trace d'éjecteur,Auswerfermarke,
ejector pipe,tuyau d'éjection,Treibstrahlrohr,
ejector plate,plaque d'éjection,Auswerferdeckplatte,
ejector plate,plaque d'éjection,Auswerferplatte,
ejector shroud,carénage de tuyère,Ejektorgehäuse,
ejector system,train d'éjection,Auswerfervorrichtung,
elapsed time counter,compteur de temps passé,Betriebszeitzaehler,
elastic nut,écrou élastique,gefederte Mutter,
elastic plate,plateau élastique,elastische Scheibe,
elastic spike,crampon élastique,Federnagel,
elastic stop nut,ecrou auto-freine hff,selbstsichernde Fiberringmutter,
elastic stop nut,ecrou elastique,Fiberringmutter,
elastic stop nut,ecrou indesserrable,Fiberringmutter,
elastic stretch,allongement élastique,elastische Dehnung,
elastic suspension of the motor,suspension élastique du moteur,elastische Aufhängung des Motors,
elastic suspension of the motor,suspension électrique du moteur,elastische Aufhängung des Motors,
elastically mounted axle motor,moteur suspendu,Achsschwebemotor,
elastomeric bearing,palier élastomérique,Elastomer-Lager,
elbow,tuyau coudé,Krümmer,
elbow pump,pompe à corps tubulaire coudé,Rohrkruemmerpumpe,
elbow tube,tube coudé,Rohrkrümmer,
electric braking,freinage électrique,elektrisches Bremsen,
electric capstan,cabestan électrique,elektrische Winde,
electric clutch,embrayage électrique,elektrische Kupplung,
electric compression heat pump,pompe à chaleur à compression électrique,Elektrokompressionswaermepumpe,
electric compression heat pump,pompe à chaleur à compression électrique,Elektrokompressionswärmepumpe,
electric connection,accouplement électrique,elektrische Kupplung,
electric contact thermometer,thermomètre à contacts électriques,elektrisches Kontaktthermometer,
electric control,commande électrique,elektrische Schaltung,
electric coupling,accouplement électrique,elektrische Kupplung,
electric crane,grue électrique,elektrischer Kran,
electric current requirement,intensité absorbée,Stromaufnahme,
electric DC drives to all axes,commandes électriques en courant continu sur tous les axes,alle Achsen muessen ueber einen eigenen Gleichstrom-Vorschubantrieb verfuegen,
electric defrosting,dégivrage électrique,elektrisches Abtauen,
electric drive,commande électrique,elektrischer Antrieb,
electric embosser,estampeuse électronique,elektronische Prägemaschine,
electric engraving pen,crayon electrique,elektrischer Gravierstift,
electric fan,électroventilateur,elektrisches Gebläse,
electric fish screen,grille électrique à poissons,elektrische Fischsperre,
electric hoisting tackle,palan électrique,Elektroflaschenzug,
electric impact drill,perceuse électrique à percussion,elektrische Schlagbohrmaschine,
electric impact wrench,clef de serrage électrique,elektrischer Drehmomentschraubenschlüssel,
electric lift,ascenseur électrique,elektrisch betriebener Aufzug,
electric loading,densité linéique électrique,Strombelag,
electric mixer,batteur mélangeur,Schlag-Rührmaschine,
electric motor with disc-shaped rotor,moteur à rotor à disque,Scheibenlaeufermotor,
electric pallet stacking truck,gerbeur électrique à fourche,Elektrostapler mit Gabel,
electric platform stacking truck,gerbeur électrique à plateau,Elektrostapler mit Plattform,
electric power supply motor,moteur de groupe électrogène,Aggregat-Antriebsmotor,
electric power take-off,prise de force électrique,elektrische Zapfwelle,
electric regenerative braking,freinage électrique par récupération,elektrische Nutzbremsung,
electric retarder,ralentisseur électrique,elektrischer Verzögerer,
electric setting,calage electrique,elektrische Einstellung,
electric shaver,rasoir électrique,elektrischer Rasierapparat,
electric shutoff butterfly valve,vanne de conditionnement d'air,Ventil der Klimaanlage,
electric squib,détonateur électrique à poudre de mine,elektrischer Zuender,
electric stacking truck,chariot empileur électrique,Elektrostapler,
electric stand on centre controlled counterbalanced fork lift truck,chariot élévateur électrique à fourche à conducteur debout et à poste central,Elektro-Stand-Gabelstapler zwischen Mast und Batterie,
electric stand on end-controlled counterbalanced fork lift truck,chariot élévateur électrique à fourche à conducteur debout et à poste d'extrémité,Elektro-Stand-Gabelstapler,
electric starting,démarrage électrique,elektrisches Anlassen,
electric steam winch,treuil à vapeur électrique,elektrische Dampfwinde,
electric transmission,transmission électrique,elektrische Kraftübertragung,
electric truck,chariot électrique,Elektrokarren,
electric winch,treuil à moteur électrique,Motorwinde,
electric-heating coupling,accouplement de chauffage électrique,elektrische Heizkupplung,
electrical back-to-back test,essai en opposition avec marche en parallèle sur un réseau,Rückarbeitsverfahren parallel am Netz,
electrical brake control,commande électrique du frein,elektrische Bremsschaltung,
electrical control power,puissance électrique de commande,elektrische Steürleistung,
electrical discharge machine,machine à décharge électrique,Funkenerosionsmaschine,
electrical dynamometer,génératrice balance,elektrisches Dynamometer,
electrical emergency operation,manoeuvre électrique de secours,Rueckholsteuerung,
electrical hygrometer,hygromètre électrique,elektrisches Hygrometer,
electrical ignition,allumage électrique,elektrische Zündanlage,
electrical lock,serrure électrique,elektrischer Tuerverschluss,
electrical pump,électropompe,Elektropumpe,
electrical quiescent power,puissance électrique de repos,elektrische Ruheleistung,
electrical rotating machine,machine électrique tournante,elektrische umlaufende Maschinen,
electrical servo-actuator,moteur électrique d'asservissement,elektrischer Servomotor,
electrical shut-off valve,robinet coupe-feu électrique,elektrischer Brandhahn,
electrical shut-off valve,robinet coupe-feu électrique,elektrischer Brandhahn,
electrical signalling system,commande par mode électrique,elektrisches Signalsystem,
electrical socket plate,plaque à prise électrique,elektrische Grundplatte,
electrical supply confirmation,confirmation de courant,Bestaetigung des elektrischen Anschlusses,
electrical terminal nipple,pipe de protection de bornes,Anschlußklemmenschutztülle,
electrical winch,treuil électrique,Elektromotorwinde,
electrically driven heat pump,pompe à chaleur électrique,elektrisch angetriebene Wärmepumpe,
electrically driven heat pump,pompe de chaleur électrique,elektrisch angetriebene Waermepumpe,
electrically locked,verrouillé électriquement,elektrisch verriegelt,
electrically operated lift,ascenseur mu électriquement,elektrisch betriebener Aufzug,
electrically operated valve,électrovalve,elektrisch gesteuertes Ventil,
electrically-operated geared motor,motoréducteur électrique,Elektromotor mit Untersetzungsgetriebe,
electro boiler feed pump,électro-pompe d'alimentation de chaudière,Elektro-Kesselspeise/pumpe,
electro pneumatic dosing valve,valve électro pneumatique doseuse,elektro-pneumatisches Dosierventil,
electro-arcing,usinage par arc,Lichtbogenerosion,
electro-erosion cutting machine powered by cable,machine à découper à fil par électro-érosion,"beim meist angewendeten funkenerosiven Schneiden wird ein vorschubgesteuerter,umlaufender Kupferdraht als Werkzeugelektrode verwendet",
